 TOT   INH   IND
98.4    .2     -              Main egraphSearch.updateIfNothing (2995)
97.2     -     -                Algorithm.SRTree.Opt minimizeNLL (2485)
  .7     -     -                Algorithm.SRTree.Likelihoods mse (5966)
  .2     -     -                Algorithm.EqSat.Build getBest (60140)
  .2    .2     -                Algorithm.EqSat.Info insertFitness (2992)
  .2    .2     -                  Algorithm.EqSat.Egraph insertRange (5984)
  .1    .1    .1                    Algorithm.EqSat.Egraph insertRange.go (38468)
   -     -     -                      Algorithm.EqSat.Egraph insertRange.go.n (38468)
   -     -     -                  Algorithm.EqSat.Info insertFitness.oldFit (2992)
   -     -     -                  Algorithm.EqSat.Info insertFitness.newInfo (2992)
   -     -     -                Random randomVec (2992)
   -     -     -                  System.Random randomR (10409)
   -     -     -                  Data.Massiv.Array.Manifest.Storable unsafeNew (2485)
   -     -     -                  Control.Scheduler.Computation $mPar.\ (2485)
   -     -     -                    Data.Massiv.Core.List loadRaggedST (0)
   -     -     -                      Data.Massiv.Core.List loadRaggedST.go (10409)
   -     -     -                        Data.Massiv.Array.Manifest.Storable unsafeLinearWrite (10409)
   -     -     -                Data.SRTree.Internal relabelParams (2992)
 1.0   1.0     -              Main egraphSearch.getParetoEcsUpTo (2995)
 1.0   1.0     -                Main egraphSearch.getParetoEcsUpTo.\ (299500)
 1.0   1.0    .1                  Main egraphSearch.getBestEcsOfSize (299500)
  .9    .9    .2                    Algorithm.EqSat.Queries getTopECLassWithSize (299500)
  .7    .7    .7                      Algorithm.EqSat.Queries getTopECLassWithSize.go (530110)
   -     -     -                        Algorithm.EqSat.Queries getTopECLassWithSize.go.x (232801)
   -     -     -                        Algorithm.EqSat.Egraph _canonicalMap (232801)
  .3    .1     -              Main egraphSearch.combineFrom (4739)
  .2     -     -                Algorithm.EqSat.Build add (0)
  .1     -     -                Main egraphSearch.randomChildFrom (23120)
   -     -     -                  System.Random random (34831)
   -     -     -                System.Random randomR (18956)
   -     -     -                Algorithm.EqSat.Info calculateConsts (4329)
  .1     -     -              Main egraphSearch.insertRndExpr (0)
  .1     -     -                Algorithm.EqSat.Build fromTree (0)
  .1     -     -                  Data.SRTree.Recursion cataM (0)
   -     -     -                  Algorithm.EqSat.Info calculateConsts (4123)
   -     -     -                  Algorithm.EqSat.Build add (0)
   -     -     -                System.Random random (1657)
   -     -     -              Main egraphSearch.getBestEcs (2995)
   -     -     -                Algorithm.EqSat.Queries getTopECLassThat (2995)
   -     -     -                  Algorithm.EqSat.Queries getTopECLassThat.go (6148)
   -     -     -                    Algorithm.EqSat.Egraph _canonicalMap (3153)
   -     -     -            Main egraphSearch.numberOfEvalClasses (0)
   -     -     -          Main egraphSearch.combineFrom (0)
   -     -     -            System.Random randomR (0)
   -     -     -            Algorithm.EqSat.Build add (4329)
   -     -     -          Main egraphSearch.rndNonTerm (0)
   -     -     -            System.Random randomR (0)
   -     -     -          Main egraphSearch.updateIfNothing (1)
   -     -     -            Data.SRTree.Recursion cata (0)
   -     -     -          Main egraphSearch.insertRndExpr (1)
   -     -     -            Algorithm.EqSat.Build fromTree (148)
   -     -     -              Algorithm.EqSat.Build add (4130)
   -     -     -          Main egraphSearch.paretoFront (1)
   -     -     -            Main egraphSearch.paretoFront.go (101)
   -     -     -              Main egraphSearch.getBestExprWithSize (100)
   -     -     -                Algorithm.EqSat.Build getBest (3921)
   -     -     -          Main egraphSearch.getBestFitness (0)
   -     -     -          Main egraphSearch.\ (0)
   -     -     -            Main egraphSearch.getParetoEcsUpTo (0)
   -     -     -          Main egraphSearch.evalRndSubTree (0)
   -     -     -            System.Random randomR (1334)
   -     -     -          Main egraphSearch.evaluateUnevaluated (1)
   -     -     -            Main egraphSearch.evaluateUnevaluated.\ (7)
   -     -     -              Algorithm.SRTree.Likelihoods mse (14)
   -     -     -              Algorithm.SRTree.Opt minimizeNLL (1)
   -     -     -      Options.Applicative.Extra execParser (0)
   -     -     -        Options.Applicative.Extra customExecParser (1)
   -     -     -          Options.Applicative.Extra execParserPure (1)
   -     -     -            Options.Applicative.Extra execParserPure.p (1)
   -     -     -              Options.Applicative.Common runParserInfo (1)
